marca,modelo,ano_vehic,antiguedad,rango_antiguedad,km,combustible,puertas,cv,transmision,ubicacion,particular,precio,segmento_precio,precio_por_cv,stats_visto,stats_favorito,stats_contactado,engagement_score,fuente
SUZUKI,SWIFT 1. 4 T SPORT MILD HYBRID,2020.0,1,Casi nuevo (0-3a),6.715,Híbrido,5.0,129.0,manual,Cantabria,Profesional,16.99,Medio (10-20K),131.71,2263,2,1,1292.0,Milanuncios
OPEL,CORSAE,2019.0,2,Casi nuevo (0-3a),10.07,Híbrido,5.0,136.0,automat,Cantabria,Profesional,20.99,Premium (20-35K),154.34,1127,0,0,564.0,Milanuncios
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE ST,2020.0,1,Casi nuevo (0-3a),10.0,Gasolina,5.0,110.0,manual,Cantabria,Profesional,14.99,Medio (10-20K),136.27,1382,0,0,691.0,Milanuncios
OPEL,CORSAE,2020.0,1,Casi nuevo (0-3a),5.0,Híbrido,5.0,136.0,automat,Cantabria,Profesional,19.99,Medio (10-20K),146.99,874,0,0,437.0,Milanuncios
OPEL,CROSSLAND X,2020.0,1,Casi nuevo (0-3a),10.0,Gasolina,5.0,110.0,manual,Cantabria,Profesional,15.49,Medio (10-20K),140.82,1067,0,0,534.0,Milanuncios
OPEL,CROSSLAND X,2020.0,1,Casi nuevo (0-3a),10.0,Gasolina,5.0,110.0,manual,Cantabria,Profesional,15.49,Medio (10-20K),140.82,1061,0,0,530.0,Milanuncios
RENAULT,KADJAR ZEN ENERGY DCI 130,2016.0,5,Reciente (4-7a),49.0,Diesel,5.0,130.0,manual,Zaragoza,Profesional,15.39,Medio (10-20K),118.38,4364,1,0,2212.0,Milanuncios
OPEL,GRANDLAND X,2020.0,1,Casi nuevo (0-3a),10.0,Diesel,5.0,130.0,manual,Cantabria,Profesional,19.99,Medio (10-20K),153.77,1063,0,0,532.0,Milanuncios
SUZUKI,SCROSS 1. 4 DITC GLX 4WD MID HYBRID,2020.0,1,Casi nuevo (0-3a),9.04,Híbrido,5.0,129.0,manual,Cantabria,Profesional,19.99,Medio (10-20K),154.96,1384,0,0,692.0,Milanuncios
OPEL,ASTRA 1. 5D DVH 90KW 122CV GS LINE,2021.0,0,Casi nuevo (0-3a),10.0,Diesel,5.0,122.0,manual,Cantabria,Profesional,16.49,Medio (10-20K),135.16,1060,0,0,530.0,Milanuncios
OPEL,ASTRA 1. 5D DVH 90KW 122CV GS LINE,2021.0,0,Casi nuevo (0-3a),10.0,Diesel,5.0,122.0,manual,Cantabria,Profesional,16.49,Medio (10-20K),135.16,1018,0,0,509.0,Milanuncios
OPEL,ASTRA 1. 5D DVH 90KW 122CV GS LINE,2021.0,0,Casi nuevo (0-3a),10.0,Diesel,5.0,122.0,manual,Cantabria,Profesional,16.49,Medio (10-20K),135.16,1001,0,0,500.0,Milanuncios
OPEL,ZAFIRA LIFE,2020.0,1,Casi nuevo (0-3a),10.0,Diesel,5.0,120.0,manual,Cantabria,Profesional,49.99,Lujo (>35K),416.58,2501,0,0,1250.0,Milanuncios
BMW,SERIE 1 116D,2015.0,6,Reciente (4-7a),34.326,Diesel,5.0,116.0,manual,Madrid,Profesional,13.9,Medio (10-20K),119.83,3669,1,0,1864.0,Milanuncios
NISSAN,QASHQAI 1. 6 ACENTA 4X2,2008.0,13,Clásico (>12a),180.0,Gasolina,5.0,115.0,manual,Zaragoza,Profesional,5.9,Accesible (5-10K),51.3,3218,1,0,1639.0,Milanuncios
SUZUKI,ACROSS,2021.0,0,Casi nuevo (0-3a),10.0,Híbrido,5.0,306.0,automat,Cantabria,Profesional,39.99,Lujo (>35K),130.69,2975,0,0,1488.0,Milanuncios
OPEL,INSIGNIA ST 1. 6 CDTI 100KW TURBO D INNOVATION,2019.0,2,Casi nuevo (0-3a),17.5,Diesel,5.0,136.0,manual,Cantabria,Profesional,21.99,Premium (20-35K),161.69,2423,0,0,1212.0,Milanuncios
PEUGEOT,508 HYBRID,2020.0,1,Casi nuevo (0-3a),7.0,Híbrido,5.0,225.0,automat,Cantabria,Profesional,31.9,Premium (20-35K),141.78,1914,0,0,957.0,Milanuncios
PEUGEOT,308 5P STYLE 1. 6 BLUEHDI 88KW 120CV,2017.0,4,Reciente (4-7a),258.0,Diesel,5.0,120.0,manual,Zaragoza,Profesional,6.55,Accesible (5-10K),54.58,8778,1,0,4419.0,Milanuncios
SEAT,LEON 1. 6 TDI 105CV STYLE COPA,2011.0,10,Seminuevo (8-12a),67.0,Diesel,5.0,105.0,manual,Barcelona,Profesional,7.8,Accesible (5-10K),74.29,6350,2,1,3335.0,Milanuncios
SEAT,ALTEA 1. 4 TSI 125CV STYLE,2013.0,8,Seminuevo (8-12a),59.0,Gasolina,5.0,125.0,manual,Zaragoza,Profesional,7.35,Accesible (5-10K),58.8,16828,4,0,8534.0,Milanuncios
SMART,FORTWO COUPE 52 MHD BOCONCEPT,2015.0,6,Reciente (4-7a),33.8,Gasolina,3.0,71.0,manual,Cantabria,Profesional,9.49,Accesible (5-10K),133.66,6575,0,1,3388.0,Milanuncios
OPEL,MOKKA X 1. 6 CDTI 100KW 4X2 SS EXCELLENCE,2018.0,3,Casi nuevo (0-3a),84.285,Diesel,5.0,136.0,manual,Cantabria,Profesional,13.5,Medio (10-20K),99.26,4327,2,0,2224.0,Milanuncios
BMW,SERIE 2 M240IA XDRIVE,2017.0,4,Reciente (4-7a),54.964,Gasolina,2.0,340.0,automat,Pontevedra,Profesional,39.9,Lujo (>35K),117.35,7651,0,0,3826.0,Milanuncios
FORD,CMAX 1. 0 ECOBOOST 125 AUTO STARTSTOP EDITION,2014.0,7,Reciente (4-7a),45.0,Gasolina,5.0,125.0,manual,Zaragoza,Profesional,7.9,Accesible (5-10K),63.2,17333,0,0,8666.0,Milanuncios
OPEL,CROSSLAND,2020.0,1,Casi nuevo (0-3a),10.0,Diesel,5.0,120.0,automat,Cantabria,Profesional,17.49,Medio (10-20K),145.75,3760,0,0,1880.0,Milanuncios
OPEL,MOKKA 1. 6 CDTI 4X2 SS SELECTIVE,2015.0,6,Reciente (4-7a),133.4,Diesel,5.0,136.0,manual,Madrid,Profesional,9.9,Accesible (5-10K),72.79,9441,2,0,4780.0,Milanuncios
RENAULT,LAGUNA EMOTION DCI 110 ECO2,2015.0,6,Reciente (4-7a),52.0,Diesel,5.0,110.0,manual,Barcelona,Profesional,9.95,Accesible (5-10K),90.45,34067,1,0,17064.0,Milanuncios
PEUGEOT,508 HYBRID,2020.0,1,Casi nuevo (0-3a),30.5,Híbrido,5.0,225.0,automat,Cantabria,Profesional,26.99,Premium (20-35K),119.96,13937,1,0,6998.0,Milanuncios
PEUGEOT,308 5P ALLURE 1. 5 BLUEHDI 96KW 130CV,2018.0,3,Casi nuevo (0-3a),14.5,Diesel,5.0,130.0,manual,Cantabria,Profesional,16.99,Medio (10-20K),130.69,12336,1,0,6198.0,Milanuncios
PEUGEOT,E208,2020.0,1,Casi nuevo (0-3a),21.0,Híbrido,5.0,136.0,automat,Cantabria,Profesional,21.99,Premium (20-35K),161.69,10348,0,0,5174.0,Milanuncios
VOLKSWAGEN,PASSAT ALLTRACK 2. 0 TDI 190CV BMT 4MOTION DSG,2015.0,6,Reciente (4-7a),72.628,Diesel,5.0,190.0,automat,Madrid,Profesional,22.9,Premium (20-35K),120.53,21104,6,1,10832.0,Milanuncios
FORD,GALAXY 2. 0 TDCI 140CV DPF TITANIUM POWERSHIFT,2014.0,7,Reciente (4-7a),83.232,Diesel,5.0,140.0,automat,Madrid,Profesional,12.5,Medio (10-20K),89.29,24712,6,0,12536.0,Milanuncios
PEUGEOT,206PLUS 1. 1 60CV GENERATION,2012.0,9,Seminuevo (8-12a),131.184,Gasolina,3.0,60.0,manual,Madrid,Profesional,4.2,Económico (<5K),70.0,21329,0,0,10664.0,Milanuncios
FORD,MONDEO 2. 0 TDCI 140CV LIMITED EDITION,2015.0,6,Reciente (4-7a),85.463,Diesel,5.0,140.0,manual,Madrid,Profesional,12.5,Medio (10-20K),89.29,51935,7,0,26178.0,Milanuncios
SEAT,EXEO 1. 8 TSI 160 CV STYLE,2010.0,11,Seminuevo (8-12a),113.2,Gasolina,4.0,160.0,manual,Madrid,Profesional,5.9,Accesible (5-10K),36.88,2508,2,1,1414.0,Milanuncios
OPEL,ASTRA 1. 2T SHT 96KW 130CV GS LINE,2020.0,1,Casi nuevo (0-3a),10.0,Gasolina,5.0,130.0,manual,Cantabria,Profesional,16.49,Medio (10-20K),126.85,1488,0,0,744.0,Milanuncios
OPEL,ASTRA 1. 5D DVC 77KW 105CV 2020,2020.0,1,Casi nuevo (0-3a),3.0,Diesel,5.0,105.0,manual,Cantabria,Profesional,15.99,Medio (10-20K),152.29,1349,0,0,674.0,Milanuncios
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE ST,2020.0,1,Casi nuevo (0-3a),10.0,Gasolina,5.0,110.0,manual,Cantabria,Profesional,14.99,Medio (10-20K),136.27,1471,0,0,736.0,Milanuncios
OPEL,ASTRA 1. 2T SHL 81KW 110CV GS LINE ST,2020.0,1,Casi nuevo (0-3a),10.0,Gasolina,5.0,110.0,manual,Cantabria,Profesional,14.99,Medio (10-20K),136.27,1440,0,0,720.0,Milanuncios
OPEL,CROSSLAND X,2020.0,1,Casi nuevo (0-3a),10.0,Gasolina,5.0,110.0,manual,Cantabria,Profesional,15.49,Medio (10-20K),140.82,1078,0,0,539.0,Milanuncios
OPEL,CORSA 1. 5D DT 74KW 100CV ELEGANCE,2020.0,1,Casi nuevo (0-3a),9.049,Diesel,5.0,102.0,manual,Cantabria,Profesional,14.99,Medio (10-20K),146.96,1464,0,0,732.0,Milanuncios
PEUGEOT,508 SW ALLURE BLUEHDI 96KW130CV SS EAT8,2019.0,2,Casi nuevo (0-3a),31.614,Diesel,5.0,130.0,automat,Cantabria,Profesional,23.99,Premium (20-35K),184.54,1141,0,0,570.0,Milanuncios
TOYOTA,AVENSIS 2. 0 D4D SOL,2005.0,16,Clásico (>12a),130.0,Diesel,4.0,116.0,manual,Zaragoza,Profesional,3.3,Económico (<5K),28.45,3970,3,0,2075.0,Milanuncios
PEUGEOT,308 5P GT LINE 1. 2 PURETECH 130 SS EAT6,2015.0,6,Reciente (4-7a),60.321,Gasolina,5.0,130.0,automat,Cantabria,Profesional,11.99,Medio (10-20K),92.23,2376,3,0,1278.0,Milanuncios
OPEL,ASTRA 1. 2T SHT 96KW 130CV GS LINE,2020.0,1,Casi nuevo (0-3a),6.0,Gasolina,5.0,130.0,manual,Cantabria,Profesional,15.49,Medio (10-20K),119.15,5263,1,0,2662.0,Milanuncios
SUZUKI,SWACE,2020.0,1,Casi nuevo (0-3a),10.0,Híbrido,5.0,122.0,manual,Cantabria,Profesional,19.99,Medio (10-20K),163.85,9619,0,0,4810.0,Milanuncios
MERCEDES-BENZ,CLASE GLA GLA 220 D 4MATIC STYLE,2016.0,5,Reciente (4-7a),205.68,Diesel,5.0,177.0,automat,Sevilla,Profesional,16.89,Medio (10-20K),95.42,1400,0,1,800.0,Milanuncios
FORD,KUGA 2. 0 TDCI 140 4X4 TITANIUM POWERSHIFT,2013.0,8,Seminuevo (8-12a),132.669,Diesel,5.0,140.0,automat,Madrid,Profesional,12.9,Medio (10-20K),92.14,16464,3,1,8422.0,Milanuncios
CITROEN,C4 CACTUS BLUEHDI 100 SHINE,2015.0,6,Reciente (4-7a),113.2,Diesel,5.0,100.0,manual,Madrid,Profesional,8.5,Accesible (5-10K),85.0,22447,5,2,11574.0,Milanuncios
